,run,t,S,I,R,P,detectedIPI
0,0,0,29027,107.50000000000004,76,15.499999999999998,22
1,0,14,28678,263.1,254,30.900000000000013,22
2,0,28,28055,458.6,674,38.400000000000006,62
3,0,42,27202,687.8,1291,45.20000000000001,88
4,0,56,26196,904.6000000000003,2078,47.4,113
5,0,70,25125,1013.1999999999999,3045,42.80000000000001,128
6,0,84,24120,1018.4999999999999,4043,44.50000000000003,115
7,0,98,23155,1061.4999999999998,4962,47.50000000000004,111
8,0,112,22158,1063.9000000000003,5957,47.10000000000002,119
9,0,126,21252,1032.9000000000008,6897,44.10000000000003,115
10,0,140,20436,1011.5999999999999,7730,48.40000000000008,97
11,0,154,19621,1022.2000000000003,8534,48.800000000000054,102
12,0,168,18906,942.5999999999999,9336,41.40000000000009,104
13,0,182,18324,818.1999999999998,10035,48.80000000000009,73
14,0,196,17723,811.4000000000003,10644,47.600000000000044,85
15,0,210,17189,750.3000000000004,11242,44.70000000000012,78
16,0,224,16708,704.1000000000004,11764,49.90000000000006,64
17,0,238,16242,669.3000000000003,12268,46.700000000000074,73
18,0,252,15850,644.0000000000002,12683,49.00000000000009,60
19,0,266,15442,639.6000000000001,13097,47.4000000000001,66
20,0,280,15107,615.8000000000004,13451,52.20000000000011,54
21,0,294,14736,615.0000000000005,13824,51.0000000000001,62
22,0,308,14415,599.3000000000006,14165,46.70000000000011,63
23,0,322,14118,561.4000000000003,14500,46.60000000000013,53
24,0,336,13816,514.7000000000004,14849,46.300000000000104,54
25,0,350,13565,522.6000000000006,15090,48.4000000000001,50
26,0,364,13372,512.4000000000004,15295,46.600000000000115,51
